127.0.0.1 - - [03/Oct/2021:14:54:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:28 +0900] "GET /myweb HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:49 +0900] "GET /binzip/index.jsp HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:49 +0900] "GET /binzip/test_mainLayout_imgs/logo/mainLogo.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:50 +0900] "GET /binzip/test_mainLayout_imgs/logo/locateIcon.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:50 +0900] "GET /binzip/test_mainLayout_imgs/main-top-img.png HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:50 +0900] "GET /binzip/test_mainLayout_imgs/testimg.jfif HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:50 +0900] "GET /binzip/test_mainLayout_imgs/logo/mypageIcon.png HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:50 +0900] "GET /binzip/test_mainLayout_imgs/main-mid(banner)-img.jpg HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:54:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:58:13 +0900] "GET /binzip/index.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:58:13 +0900] "GET /binzip/img/logo/locateIcon.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:58:13 +0900] "GET /binzip/img/testimg.jfif HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:58:13 +0900] "GET /binzip/img/main-mid(banner)-img.jpg HTTP/1.1" 200 67569
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:58:13 +0900] "GET /binzip/img/main-top-img.png HTTP/1.1" 200 169029
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:58:13 +0900] "GET /binzip/img/logo/mainLogo.png HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:58:13 +0900] "GET /binzip/img/logo/mypageIcon.png HTTP/1.1" 200 13845
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:59:28 +0900] "GET /binzip/index.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:59:28 +0900] "GET /binzip/img/logo/locateIcon.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:59:28 +0900] "GET /binzip/img/testimg.jfif HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:00:44 +0900] "GET /binzip/index.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:00:44 +0900] "GET /binzip/img/logo/locateIcon.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:00:44 +0900] "GET /binzip/img/logo/mainLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:00:44 +0900] "GET /binzip/img/logo/mypageIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:00:44 +0900] "GET /binzip/img/main-top-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:00:44 +0900] "GET /binzip/img/main-mid(banner)-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:15:00:44 +0900] "GET /binzip/img/testimg.jfif HTTP/1.1" 404 838
